Function,model.runs,algorithm,MAE
A1,112,new,0.0724770154017479
A1,224,new,0.0380922909414048
A1,448,new,0.0212130911336777
A1,896,new,0.0168518240875783
A1,1792,new,0.0108531973464254
A1,3584,new,0.00574492933077097
A1,7168,new,0.00312376133357549
A1,14336,new,0.00353140893871029
A1,28672,new,0.00311835994803934
A1,57344,new,0.00252257222529222
A1,112,old,0.09304734988018
A1,224,old,0.0359207052408195
A1,448,old,0.0231762417064365
A1,896,old,0.0211697571742043
A1,1792,old,0.00850001636467167
A1,3584,old,0.00420793434452489
A1,7168,old,0.0019071668791067
A1,14336,old,0.00133692976546812
A1,28672,old,0.000410887771585033
A1,57344,old,0.000280311554773123
A2,112,new,0.0726720026735236
A2,224,new,0.0300474507584054
A2,448,new,0.0206930796484861
A2,896,new,0.016536137533661
A2,1792,new,0.0105455940318107
A2,3584,new,0.0054115914335841
A2,7168,new,0.00459078898322474
A2,14336,new,0.00357481127715269
A2,28672,new,0.00243136795628465
A2,57344,new,0.00104654240698713
A2,112,old,0.0760251038193524
A2,224,old,0.0227643428555567
A2,448,old,0.0169367486865782
A2,896,old,0.0104093085780342
A2,1792,old,0.00560426241148435
A2,3584,old,0.00483758230165389
A2,7168,old,0.00334479176302289
A2,14336,old,0.00323162012752393
A2,28672,old,0.00025211420475627
A2,57344,old,0.000118181419360132
B1,112,new,0.286117276162873
B1,224,new,0.0459306909435604
B1,448,new,0.030048750661419
B1,896,new,0.018696391935854
B1,1792,new,0.0132762302693656
B1,3584,new,0.00935964604895297
B1,7168,new,0.00673307178642592
B1,14336,new,0.00532930638468181
B1,28672,new,0.00574014680285799
B1,57344,new,0.00451363778989989
B1,112,old,0.0486470695771833
B1,224,old,0.0228743172355337
B1,448,old,0.0161031530030466
B1,896,old,0.0101294548224887
B1,1792,old,0.00435456409699518
B1,3584,old,0.00106870863191376
B1,7168,old,0.000604327730117486
B1,14336,old,0.000348434531376527
B1,28672,old,0.00013439615669425
B1,57344,old,6.88541106964604e-05
B2,112,new,0.28696473875893
B2,224,new,0.0472525745899392
B2,448,new,0.0323322712103026
B2,896,new,0.0203558693579698
B2,1792,new,0.0168858340196281
B2,3584,new,0.0145679599922991
B2,7168,new,0.0122067126834849
B2,14336,new,0.0120311376516173
B2,28672,new,0.0128912526388615
B2,57344,new,0.0115448163167179
B2,112,old,0.0483743679859441
B2,224,old,0.0229850595964928
B2,448,old,0.0170432991215092
B2,896,old,0.0121733938123859
B2,1792,old,0.0075157467012089
B2,3584,old,0.00738122901248441
B2,7168,old,0.00746859120347284
B2,14336,old,0.00751192248225558
B2,28672,old,0.00753786431097589
B2,57344,old,0.00754830311584809
B3,112,new,0.0972878503079518
B3,224,new,0.0531953737744874
B3,448,new,0.0344686336110033
B3,896,new,0.0198919710108416
B3,1792,new,0.0147967552153035
B3,3584,new,0.00925820183010003
B3,7168,new,0.00732341485475992
B3,14336,new,0.00527142146542127
B3,28672,new,0.00454051584874615
B3,57344,new,0.00360539466452745
B3,112,old,0.0740088289331035
B3,224,old,0.0330463563152768
B3,448,old,0.0228844970066999
B3,896,old,0.00780097599836151
B3,1792,old,0.00522694945457943
B3,3584,old,0.00116818168727754
B3,7168,old,0.000796489437181447
B3,14336,old,0.000520198353624746
B3,28672,old,0.00020515968093783
B3,57344,old,9.47307332975221e-05
C1,112,new,0.473841041696961
C1,224,new,0.210078704236514
C1,448,new,0.152379384107599
C1,896,new,0.109835254249357
C1,1792,new,0.0912475343494295
C1,3584,new,0.0634492235593236
C1,7168,new,0.0513464051127832
C1,14336,new,0.0362723865420683
C1,28672,new,0.0293617765733655
C1,57344,new,0.0222683923569509
C1,112,old,0.480902725123531
C1,224,old,0.266429004119969
C1,448,old,0.161429120477869
C1,896,old,0.103996533842525
C1,1792,old,0.0780014364304513
C1,3584,old,0.0563193594777702
C1,7168,old,0.0453432600265147
C1,14336,old,0.0296610586377819
C1,28672,old,0.0122461031319582
C1,57344,old,0.00742282461332857
C2,112,new,0.459012688651653
C2,224,new,0.261769686382011
C2,448,new,0.162176089801196
C2,896,new,0.127291500983698
C2,1792,new,0.102260774061743
C2,3584,new,0.0713150507851026
C2,7168,new,0.056862719584691
C2,14336,new,0.044403317334152
C2,28672,new,0.0251759048627469
C2,57344,new,0.0226265942584986
C2,112,old,0.610900153000359
C2,224,old,0.271746552861061
C2,448,old,0.178284190686061
C2,896,old,0.124661926927964
C2,1792,old,0.0858834055318823
C2,3584,old,0.0509103583493262
C2,7168,old,0.0451004734058275
C2,14336,old,0.0372762435416184
C2,28672,old,0.00772084286652222
C2,57344,old,0.00559508567822568
